subject	acquisition	rows	columns	has_stage_hum	has_stage_ai	duration_values	onset_min_sec	onset_max_sec	coverage_end_sec	recording_duration_sec	unlabeled_tail_sec	sampling_frequency_hz	channel_rows	stage_hum_disconnection_epochs	stage_hum_missing	stage_ai_negative_epochs
sub-1	headband	915	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27420.0	27450.0	27459.0	9.0	256.0	2			677
sub-1	psg	915	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27420.0	27450.0	27459.0	9.0	256.0	11	1	0	0
sub-2	headband	913	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27360.0	27390.0	27400.0	10.0	256.0	2			7
sub-2	psg	913	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27360.0	27390.0	27400.0	10.0	256.0	11	0	0	0
sub-3	headband	997	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29880.0	29910.0	29921.0	11.0	256.0	9			9
sub-3	psg	997	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29880.0	29910.0	29921.0	11.0	256.0	8	0	0	0
sub-4	headband	1070	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32070.0	32100.0	32108.0	8.0	256.0	9			75
sub-4	psg	1070	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32070.0	32100.0	32108.0	8.0	256.0	8	0	0	3
sub-5	headband	1005	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30120.0	30150.0	30178.0	28.0	256.0	2			1
sub-5	psg	1005	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30120.0	30150.0	30178.0	28.0	256.0	11	0	0	0
sub-6	headband	998	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29910.0	29940.0	29961.0	21.0	256.0	9			9
sub-6	psg	998	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29910.0	29940.0	29961.0	21.0	256.0	8	0	0	0
sub-7	headband	935	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28020.0	28050.0	28078.0	28.0	256.0	2			152
sub-7	psg	935	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28020.0	28050.0	28078.0	28.0	256.0	11	0	0	7
