pipeline	partition	membership	tolerance_sec	subject	pid	match_type	reference_time_sec	prediction_time_sec	absolute_error_sec
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-100	67	ignored_quality	23790.0	23790.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-104	72	eligible	23550.0	23550.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-104	72	ignored_quality	24510.0	24510.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-12	92	eligible	9510.0	9510.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-12	92	eligible	9900.0	9900.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-12	92	eligible	22890.0	22890.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-12	92	eligible	23490.0	23490.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-12	92	eligible	28170.0	28170.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-120	99	eligible	13830.0	13830.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-125	104	eligible	23760.0	23760.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-16	11	eligible	26790.0	26790.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-17	92	eligible	12150.0	12150.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-17	92	eligible	25110.0	25110.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-20	13	eligible	29250.0	29250.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-24	16	eligible	17370.0	17370.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-27	19	eligible	16020.0	16020.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-3	1	ignored_quality	23700.0	23700.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-30	94	ignored_quality	24660.0	24660.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-33	84	eligible	22050.0	22050.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-42	84	eligible	23100.0	23100.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-59	79	eligible	21510.0	21510.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-59	79	eligible	28950.0	28950.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-63	81	eligible	22920.0	22920.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-65	81	ignored_quality	15030.0	15030.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-68	33	eligible	10020.0	10020.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-69	34	ignored_quality	23040.0	23040.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-70	35	eligible	22110.0	22110.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-71	36	eligible	26880.0	26880.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-78	43	eligible	24570.0	24570.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-78	43	eligible	25230.0	25230.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-81	46	eligible	13590.0	13590.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-81	46	eligible	26370.0	26370.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-81	46	eligible	27000.0	27000.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-81	46	ignored_quality	14550.0	14550.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-81	46	ignored_quality	14820.0	14820.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-96	63	eligible	14190.0	14190.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-98	65	eligible	9870.0	9870.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-98	65	eligible	10920.0	10920.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-98	65	eligible	19080.0	19080.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	15.0	sub-98	65	eligible	20070.0	20070.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-100	67	eligible	27600.0	27630.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-100	67	ignored_quality	23790.0	23790.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-101	68	eligible	23820.0	23790.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-104	72	eligible	23550.0	23550.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-104	72	ignored_quality	24510.0	24510.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-108	76	eligible	28110.0	28140.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-109	96	eligible	12300.0	12270.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-12	92	eligible	9510.0	9510.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-12	92	eligible	9900.0	9900.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-12	92	eligible	22890.0	22890.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-12	92	eligible	23490.0	23490.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-12	92	eligible	28170.0	28170.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-120	99	eligible	13830.0	13830.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-125	104	eligible	13200.0	13230.0	30.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-125	104	eligible	23760.0	23760.0	0.0
NESTED-BLSTM-CRF	train_nested_oof	primary	45.0	sub-16	11	eligible	18000.0	17970.0	30.0
